Rule 5:
If child ?b, then successor ?b.
Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has child Francis IV Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has child Francis IV Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolph II of Burgundy, Rudolph II of Burgundy has child Conrad I of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Archduchess Anna of Austria, Archduchess Anna of Austria has child Ferdinand of Bavaria soldier The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoine Duke of Lorraine, Antoine Duke of Lorraine has child Nicolas Duke of Merc ur The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Austria Queen of Spain, Margaret of Austria Queen of Spain has child Infante Carlos of Spain 1607 1632 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of Spain, Philip III of Spain has child Infante Carlos of Spain 1607 1632 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Isabella of France, Isabella of France has child Eleanor of Woodstock The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward II of England, Edward II of England has child Eleanor of Woodstock The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XV, Louis XV has child Marie Louise of France 1728 1733 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Josepha of Austria, Maria Josepha of Austria has child Frederick Christian Elector of Saxony The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoinette of Bourbon, Antoinette of Bourbon has child Mary of Guise The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of Aragon, Ferdinand I of Aragon has child John II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Alburquerque, Eleanor of Alburquerque has child John II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederick Prince of Wales, Frederick Prince of Wales has child Prince Henry Duke of Cumberland and Strathearn The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Countess Palatine Caroline of Zweibr cken, Countess Palatine Caroline of Zweibr cken has child Prince Christian of Hesse Darmstadt The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XV, Louis XV has child Philippe Duke of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
 thelwulf King of Wessex,  thelwulf King of Wessex has child  thelstan of Kent The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Duke Charles Louis Frederick of Mecklenburg, Duke Charles Louis Frederick of Mecklenburg has child Duchess Christiane of Mecklenburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has child Maria Ludovika of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has child Maria Ludovika of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
James I of Aragon, James I of Aragon has child Violant of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon, Agnes of Burgundy Duchess of Bourbon has child Louis de Bourbon Bishop of Li ge The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has child Ferdinand II Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry the Fowler, Henry the Fowler has child Henry I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XV, Louis XV has child Madame Ad la de The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Count of Valois, Charles Count of Valois has child Marie of Valois Duchess of Calabria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Peter I of Portugal, Peter I of Portugal has child John I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I of Portugal, John I of Portugal has child Prince Henry the Navigator The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fulk King of Jerusalem, Fulk King of Jerusalem has child Matilda of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of Anjou, Marie of Anjou has child Magdalena of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has child Rudolf I of Bohemia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Philip William August Count Palatine of Neuburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany has successor Francesco I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has child Francesco I de Medici Grand Duke of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Princess Christine Louise of Oettinge Oettingen, Princess Christine Louise of Oettinge Oettingen has child Princess Antoinette of Brunswic Wolfenb ttel The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Tours, Adelaide of Tours has child Hugh the Abbot The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret Countess of Anjou has successor Philip VI of France, Margaret Countess of Anjou has child Philip VI of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor has successor Charles II Archduke of Austria, Ferdinand I Holy Roman Emperor has child Charles II Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has child Charles II Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand II of Aragon, Ferdinand II of Aragon has child John Prince of Asturias The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Isabella I of Castile, Isabella I of Castile has child John Prince of Asturias The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Yaroslav the Wise, Yaroslav the Wise has child Vladimir of Novgorod The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ingegerd Olofsdotter of Sweden, Ingegerd Olofsdotter of Sweden has child Vladimir of Novgorod The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has child Marie de Medici The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has child Elisabeth of Courtenay The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fran oise Marie de Bourbon, Fran oise Marie de Bourbon has child Louise  lisabeth Duchess of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philippe II Duke of Orl ans, Philippe II Duke of Orl ans has child Louise  lisabeth Duchess of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Countess Palatine Dorothea Sophie of Neuburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry the Lion, Henry the Lion has child William of Winchester Lord of Lunenburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George II of Great Britain, George II of Great Britain has child Louise of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has child Archduke Wenceslaus of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has child Archduke Wenceslaus of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VII of France, Charles VII of France has child Charles of Valois Duke of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of Anjou, Marie of Anjou has child Charles of Valois Duke of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie Antoinette, Marie Antoinette has child Louis XVII The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Cyprus, Anne of Cyprus has child Charlotte of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Duke of Savoy, Louis Duke of Savoy has child Charlotte of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XI has successor Charles VIII of France, Louis XI has child Charles VIII of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Elisabeth Farnese, Elisabeth Farnese has child Maria Antonia Ferdinanda of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of France, Henry II of France has child Claude of France 1547 1575 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Catherine de Medici, Catherine de Medici has child Claude of France 1547 1575 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Beatrice of Savoy, Maria Beatrice of Savoy has child Francis V Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VIII of Castile, Alfonso VIII of Castile has child Ferdinand of Castile died 1211 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Duke of Vend me, Charles Duke of Vend me has child Charles de Bourbon cardinal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of France, Henry II of France has child Elisabeth of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Catherine de Medici, Catherine de Medici has child Elisabeth of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has child Princess Maria Vittoria Margherita of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has child Marie Z phyrine of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has child Marie Z phyrine of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fulk King of Jerusalem, Fulk King of Jerusalem has child Elias II Count of Maine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has child Robert King of Naples The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has child Catherine of Austria Duchess of Calabria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Martel has successor Pepin the Short, Charles Martel has child Pepin the Short The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Charles V of France has successor Charles VI of France, Charles V of France has child Charles VI of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Joanna of Bourbon, Joanna of Bourbon has child Charles VI of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has child Henry II of Namur The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Brieg, Margaret of Brieg has child Joanna Sophia of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Isabella I of Castile, Isabella I of Castile has child Maria of Aragon Queen of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand II of Aragon, Ferdinand II of Aragon has child Maria of Aragon Queen of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of France, Philip III of France has child Philip IV of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has child Archduchess Maria Elisabeth of Austria born 1737 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has child Archduchess Maria Elisabeth of Austria born 1737 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has child Maria Teresa of Savoy 1803 1879 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
