Rule 7:
If child ?a, then predecessor ?b.
Ladislaus IV of Hungary, Elizabeth the Cuman has child Ladislaus IV of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Berengaria of Le n, Alfonso IX of Le n has child Berengaria of Le n. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maximiliana Maria of Bavaria, Archduchess Anna of Austria has child Maximiliana Maria of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of Cleves 1417 1479, Mary of Burgundy Duchess of Cleves has child Catherine of Cleves 1417 1479. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Duke Charles Louis Frederick of Mecklenburg, Adolphus Frederick II Duke of Mecklenburg Strelitz has child Duke Charles Louis Frederick of Mecklenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elizabeth of Rhuddlan, Eleanor of Castile has child Elizabeth of Rhuddlan. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joseph II Holy Roman Emperor has predecessor Maria Theresa, Maria Theresa has child Joseph II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Claude Duke of Aumale, Antoinette of Bourbon has child Claude Duke of Aumale. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles I of Hungary, Clemence of Austria has child Charles I of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John II Duke of Brittany, John I Duke of Brittany has child John II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Ferdinand Duke of Montpensier, Princess Marie Isabelle of Orl ans has child Prince Ferdinand Duke of Montpensier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip Count of Longueville, Joan II of Navarre has child Philip Count of Longueville. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip Count of Longueville, Philip III of Navarre has child Philip Count of Longueville. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Leopold I Duke of Austria, Albert I of Germany has child Leopold I Duke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Giuseppe of Naples and Sicily, Ferdinand I of the Two Sicilies has child Prince Giuseppe of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of Orl ans Viscountess of Narbonne, Charles Duke of Orl ans has child Marie of Orl ans Viscountess of Narbonne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of Orl ans Viscountess of Narbonne, Marie of Cleves Duchess of Orl ans has child Marie of Orl ans Viscountess of Narbonne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Count of  vreux, Marie of Brabant Queen of France has child Louis Count of  vreux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Count of  vreux, Philip III of France has child Louis Count of  vreux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Teresa Rafaela of Spain, Elisabeth Farnese has child Maria Teresa Rafaela of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Josepha of Austria, Maria Theresa has child Archduchess Maria Josepha of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis IV Duke of Modena, Ferdinand Karl Archduke of Austria Este has child Francis IV Duke of Modena. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis IV Duke of Modena, Maria Beatrice d Este Duchess of Massa has child Francis IV Duke of Modena. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Conrad I of Burgundy has predecessor Rudolph II of Burgundy, Rudolph II of Burgundy has child Conrad I of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Ferdinand of Bavaria soldier, Archduchess Anna of Austria has child Ferdinand of Bavaria soldier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Nicolas Duke of Merc ur, Antoine Duke of Lorraine has child Nicolas Duke of Merc ur. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infante Carlos of Spain 1607 1632, Margaret of Austria Queen of Spain has child Infante Carlos of Spain 1607 1632. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infante Carlos of Spain 1607 1632, Philip III of Spain has child Infante Carlos of Spain 1607 1632. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Woodstock, Isabella of France has child Eleanor of Woodstock. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Woodstock, Edward II of England has child Eleanor of Woodstock. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie Louise of France 1728 1733, Louis XV has child Marie Louise of France 1728 1733. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederick Christian Elector of Saxony, Maria Josepha of Austria has child Frederick Christian Elector of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mary of Guise, Antoinette of Bourbon has child Mary of Guise. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John II of Aragon, Ferdinand I of Aragon has child John II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John II of Aragon, Eleanor of Alburquerque has child John II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Henry Duke of Cumberland and Strathearn, Frederick Prince of Wales has child Prince Henry Duke of Cumberland and Strathearn. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Christian of Hesse Darmstadt, Countess Palatine Caroline of Zweibr cken has child Prince Christian of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philippe Duke of Anjou, Louis XV has child Philippe Duke of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 thelstan of Kent,  thelwulf King of Wessex has child  thelstan of Kent. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Duchess Christiane of Mecklenburg, Duke Charles Louis Frederick of Mecklenburg has child Duchess Christiane of Mecklenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Ludovika of Austria Este, Maria Beatrice d Este Duchess of Massa has child Maria Ludovika of Austria Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Ludovika of Austria Este, Ferdinand Karl Archduke of Austria Este has child Maria Ludovika of Austria Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Violant of Aragon, James I of Aragon has child Violant of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis de Bourbon Bishop of Li ge, Agnes of Burgundy Duchess of Bourbon has child Louis de Bourbon Bishop of Li ge. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand II Archduke of Austria, Anne of Bohemia and Hungary has child Ferdinand II Archduke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry I Duke of Bavaria, Henry the Fowler has child Henry I Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Madame Ad la de, Louis XV has child Madame Ad la de. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of Valois Duchess of Calabria, Charles Count of Valois has child Marie of Valois Duchess of Calabria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John I of Portugal, Peter I of Portugal has child John I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Henry the Navigator, John I of Portugal has child Prince Henry the Navigator. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matilda of Anjou, Fulk King of Jerusalem has child Matilda of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Magdalena of Valois, Marie of Anjou has child Magdalena of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rudolf I of Bohemia, Albert I of Germany has child Rudolf I of Bohemia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip William August Count Palatine of Neuburg, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Philip William August Count Palatine of Neuburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francesco I de Medici Grand Duke of Tuscany has predecessor Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has child Francesco I de Medici Grand Duke of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Princess Antoinette of Brunswic Wolfenb ttel, Princess Christine Louise of Oettinge Oettingen has child Princess Antoinette of Brunswic Wolfenb ttel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hugh the Abbot, Adelaide of Tours has child Hugh the Abbot. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip VI of France has predecessor Margaret Countess of Anjou, Margaret Countess of Anjou has child Philip VI of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Charles II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has child Charles II Archduke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Charles II Archduke of Austria, Anne of Bohemia and Hungary has child Charles II Archduke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Prince of Asturias, Ferdinand II of Aragon has child John Prince of Asturias. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Prince of Asturias, Isabella I of Castile has child John Prince of Asturias. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Vladimir of Novgorod, Yaroslav the Wise has child Vladimir of Novgorod. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Vladimir of Novgorod, Ingegerd Olofsdotter of Sweden has child Vladimir of Novgorod. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie de Medici, Francesco I de Medici Grand Duke of Tuscany has child Marie de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elisabeth of Courtenay, Yolanda Latin Empress has child Elisabeth of Courtenay. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louise  lisabeth Duchess of Berry, Fran oise Marie de Bourbon has child Louise  lisabeth Duchess of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louise  lisabeth Duchess of Berry, Philippe II Duke of Orl ans has child Louise  lisabeth Duchess of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Countess Palatine Dorothea Sophie of Neuburg, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Countess Palatine Dorothea Sophie of Neuburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
William of Winchester Lord of Lunenburg, Henry the Lion has child William of Winchester Lord of Lunenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louise of Great Britain, George II of Great Britain has child Louise of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Wenceslaus of Austria, Maria of Austria Holy Roman Empress has child Archduke Wenceslaus of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Wenceslaus of Austria, Maximilian II Holy Roman Emperor has child Archduke Wenceslaus of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles of Valois Duke of Berry, Charles VII of France has child Charles of Valois Duke of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles of Valois Duke of Berry, Marie of Anjou has child Charles of Valois Duke of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis XVII, Marie Antoinette has child Louis XVII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charlotte of Savoy, Anne of Cyprus has child Charlotte of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charlotte of Savoy, Louis Duke of Savoy has child Charlotte of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles VIII of France, Louis XI has child Charles VIII of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain, Elisabeth Farnese has child Maria Antonia Ferdinanda of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Claude of France 1547 1575, Henry II of France has child Claude of France 1547 1575. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
